company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,company_code,stck_ann,next_day
G A I L (India) Ltd.,2011-03-31 00:00:00,87.19,1268477400,4,2010,89089.3,82017.9,7830.7,2011-05-23 00:00:00,0,GAIL,,
Coal India Ltd.,2011-03-31 00:00:00,347.1,6316364400,4,2010,1577.3,2238.4,13857.9,2011-05-27 00:00:00,0,coal,,
Power Grid Corpn. Of India Ltd.,2011-03-31 00:00:00,76.35,4629725353,4,2010,22108.3,18323.4,7511.2,2011-05-29 00:00:00,0,powerGrid,,
Oil & Natural Gas Corpn. Ltd.,2011-03-31 00:00:00,193.4,8555490120,4,2010,157428.8,138692,27908.6,2011-05-30 00:00:00,0,ONGC,,
Indian Oil Corpn. Ltd.,2011-03-31 00:00:00,55.71,2427952482,4,2010,984824.5,972818.9,39051.6,2011-05-30 00:00:00,0,IOC,,
Tata Power Co. Ltd.,2011-03-31 00:00:00,128.38,237307236,4,2010,17626.3,15925.4,2677.1,2011-06-06 00:00:00,0,tataPower,,
N T P C Ltd.,2011-06-30 00:00:00,155.71,8245464400,1,2011,147314.5,133326.5,20757.8,2011-07-25 00:00:00,1,NTPC,,
Reliance Industries Ltd.,2011-06-30 00:00:00,444.57,3273811628,1,2011,810180,755380,56610,2011-07-25 00:00:00,0,Reliance,,
G A I L (India) Ltd.,2011-06-30 00:00:00,82.73,1268477400,1,2011,88890,81564.8,9846.7,2011-07-27 00:00:00,0,GAIL,,
Oil & Natural Gas Corpn. Ltd.,2011-06-30 00:00:00,182.63,8555490120,1,2011,162893.6,131045,40949,2011-07-28 00:00:00,0,ONGC,,
Power Grid Corpn. Of India Ltd.,2011-06-30 00:00:00,81.97,4629725353,1,2011,22024.9,16404.4,7052.9,2011-08-02 00:00:00,0,powerGrid,,
Adani Power Ltd.,2011-06-30 00:00:00,110,2180035200,1,2011,8188.2,6955.2,1768.5,2011-08-04 00:00:00,0,Adani,,
Indian Oil Corpn. Ltd.,2011-06-30 00:00:00,56.28,2427952482,1,2011,922248.5,987333.9,-37187,2011-08-10 00:00:00,0,IOC,,
Tata Power Co. Ltd.,2011-06-30 00:00:00,125.8,237307236,1,2011,19212.4,18996.8,2815.6,2011-08-11 00:00:00,0,tataPower,,
Coal India Ltd.,2011-06-30 00:00:00,392.4,6316364400,1,2011,1230.7,3090.4,45415.9,2011-08-12 00:00:00,0,coal,,
Reliance Industries Ltd.,2011-09-30 00:00:00,400.34,3274402466,2,2011,785690,755750,57030,2011-10-15 00:00:00,1,Reliance,,
Power Grid Corpn. Of India Ltd.,2011-09-30 00:00:00,73.72,4629725353,2,2011,22643.5,17519.2,7087.4,2011-10-22 00:00:00,0,powerGrid,,
G A I L (India) Ltd.,2011-09-30 00:00:00,77.05,1268477400,2,2011,97264,88391.9,10944.1,2011-10-24 00:00:00,0,GAIL,,
N T P C Ltd.,2011-09-30 00:00:00,139.37,8245464400,2,2011,136352.4,139627.5,24241.2,2011-10-25 00:00:00,0,NTPC,,
Oil & Natural Gas Corpn. Ltd.,2011-09-30 00:00:00,177.13,8555490120,2,2011,226987.7,155751.9,86422.3,2011-11-04 00:00:00,0,ONGC,,
Indian Oil Corpn. Ltd.,2011-09-30 00:00:00,51.76,2427952482,2,2011,814583.8,897564.3,-74855.5,2011-11-09 00:00:00,0,IOC,,
Adani Power Ltd.,2011-09-30 00:00:00,85.6,2180035200,2,2011,10729,9472.6,1774.8,2011-11-11 00:00:00,0,Adani,,
Coal India Ltd.,2011-09-30 00:00:00,332.75,6316364400,2,2011,668.7,3080,10806.6,2011-11-14 00:00:00,0,coal,,
Tata Power Co. Ltd.,2011-09-30 00:00:00,96.21,2373072360,2,2011,19480.5,20201,3130.4,2011-11-14 00:00:00,0,tataPower,,
Reliance Industries Ltd.,2011-12-30 00:00:00,343.18,3274624498,3,2011,851350,839010,44400,2012-01-20 00:00:00,1,Reliance,,
G A I L (India) Ltd.,2011-12-30 00:00:00,72.02,1268477400,3,2011,112941.5,100299.5,10914.2,2012-01-23 00:00:00,0,GAIL,,
N T P C Ltd.,2011-12-30 00:00:00,133.83,8245464400,3,2011,156978.3,145838.3,21303.9,2012-01-27 00:00:00,0,NTPC,,
Adani Power Ltd.,2011-12-30 00:00:00,62.3,2180035200,3,2011,10601.1,14721.9,-3581.2,2012-02-06 00:00:00,0,Adani,,
Oil & Natural Gas Corpn. Ltd.,2011-12-30 00:00:00,171.3,8555490120,3,2011,182230.4,159109.5,67414.1,2012-02-09 00:00:00,0,ONGC,,
Power Grid Corpn. Of India Ltd.,2011-12-30 00:00:00,74.93,4629725353,3,2011,24666.2,17780,8092.3,2012-02-09 00:00:00,0,powerGrid,,
